hebrew,count,english_translation,transliteration
סיפר,43,Told,sypr
אלוהים,43,God,ʾlwhym
ביטוח,43,Insurance,vyṭwḥ
הכניסה,43,Entry,hknysh
הפנייה,43,The referral,hpnyyh
התחיל,43,Started,htḥyl
ובו,43,In which,wvw
הבן,43,The son,hvn
עלולה,43,May,ʿlwlh
הרכבת,43,The train,hrkvt
לימוד,43,Learning,lymwd
הפתרון,43,The solution,hptrwn
נמשך,43,continued,nmšk
הכול,43,Everything,hkwl
למדינה,43,To the country,lmdynh
לחכות,43,wait,lḥkwt
בנק,43,bank,vnq
השלישית,43,The third,hšlyšyt
האוכלוסייה,43,The population,hʾwklwsyyh
שדות,43,Fields,šdwt
משפטית,43,Legal,mšpṭyt
בטרם,43,before,vṭrm
תרופות,43,Drugs,trwpwt
העת,43,The time,hʿt
קולנוע,43,cinema,qwlnwʿ
שאף,43,Aspire,šʾp
בעיתון,43,In the newspaper,vʿytwn
העיקרי,43,The main,hʿyqry
עזב,43,Left,ʿzv
הופיע,43,Appeared,hwpyʿ
בספרו,43,In his book,vsprw
קלה,43,Light,qlh
בספרות,43,In literature,vsprwt
אתרים,43,Sites,ʾtrym
עשו,43,Esau,ʿšw
עדין,43,gentle,ʿdyn
המוות,43,Death,hmwwt
ביצוע,43,Performing,vyṣwʿ
גרסאות,43,Versions,grsʾwt
הכנסייה,43,Church,hknsyyh
עובדת,43,Working,ʿwvdt
ביקום,43,In the universe,vyqwm
הנשק,43,The weapon,hnšq
שאלת,43,The question,šʾlt
תעודת,43,A certificate,tʿwdt
חטיבת,43,Brigade,ḥṭyvt
מוזר,43,odd,mwzr
לבזבז,43,waste,lvzvz
בפריז,43,In Paris,vpryz
תיקנתי,43,I have fixed,tyqnty
שצריכים,43,Who need,šṣrykym
בויקי,43,Boyki,vwyqy
מחקתי,43,I deleted,mḥqty
במסנג,43,Masang,vmsng
שגיאה,43,error,šgyʾh
לוודא,42,Make sure,lwwdʾ
ויכוח,42,Debate,wykwḥ
שכזה,42,Such,škzh
ואכן,42,And indeed,wʾkn
למרכז,42,center,lmrkz
מאמץ,42,effort,mʾmṣ
ובכלל,42,And in general,wvkll
סגנון,42,style,sgnwn
בתמונות,42,In pictures,vtmwnwt
מצוי,42,Found,mṣwy
משפטי,42,legal,mšpṭy
למעט,42,excluding,lmʿṭ
ההורים,42,The parents,hhwrym
עלול,42,might,ʿlwl
מציעים,42,Offer,mṣyʿym
בעייתי,42,Problematic,vʿyyty
רשת,42,network,ršt
ליום,42,For the day,lywm
המדובר,42,This is,hmdwvr
אירוע,42,An event,ʾyrwʿ
לקורא,42,To the reader,lqwrʾ
חיובית,42,Positive,ḥywvyt
קדימה,42,forward,qdymh
תקף,42,valid,tqp
ובעיקר,42,And in particular,wvʿyqr
המשיכו,42,Continue,hmšykw
בהצבעה,42,In voting,vhṣvʿh
המומחים,42,The experts,hmwmḥym
מערך,42,array,mʿrk
הוסיף,42,Added,hwsyp
בנייה,42,Construction,vnyyh
שלב,42,stage,šlv
חם,42,hot,ḥm
ספרי,42,Books,spry
בתוכנית,42,In a program,vtwknyt
פנימי,42,internal,pnymy
הג,42,The,hg
מדריך,42,guide,mdryk
השתתף,42,Participated in,hšttp
פותחים,42,Open,pwtḥym
אוסיף,42,I will add,ʾwsyp
להכנס,42,enter,lhkns
להחליט,42,decide,lhḥlyṭ
מיותרת,42,Unnecessary,mywtrt
הודו,42,India,hwdw
החשיבות,42,The importance,hḥšyvwt
לשכתב,42,rewrite,lšktv
לימודיו,42,His studies,lymwdyw
שיעור,41,A lesson,šyʿwr
עצוב,41,sad,ʿṣwv
שייך,41,Belongs to,šyyk
נאמר,41,spoken,nʾmr
שרק,41,Only,šrq
ברמה,41,Level,vrmh
ונראה,41,And see,wnrʾh
המשפטי,41,The legal,hmšpṭy
איכות,41,quality,ʾykwt
חרדים,41,Ultra -Orthodox,ḥrdym
הזדמנות,41,opportunity,hzdmnwt
להראות,41,show,lhrʾwt
הורה,41,parent,hwrh
הגבול,41,The border,hgvwl
צפון,41,north,ṣpwn
מוסד,41,institution,mwsd
סוגי,41,Types,swgy
המשמעות,41,The meaning,hmšmʿwt
הסכמה,41,agreement,hskmh
להפנות,41,refer,lhpnwt
מרחב,41,space,mrḥv
באוגוסט,41,In August,vʾwgwsṭ
הקודמת,41,Previous,hqwdmt
במלחמה,41,In the war,vmlḥmh
הביא,41,Brought,hvyʾ
בשר,41,meat,všr
נפתח,41,Opens,nptḥ
עזה,41,Gaza,ʿzh
לימים,41,To later,lymym
אח,41,brother,ʾḥ
החדר,41,the room,hḥdr
העלילה,41,the plot,hʿlylh
השונות,41,the difference,hšwnwt
לאו,41,no,lʾw
להוכיח,41,prove,lhwkyḥ
הר,41,mountain,hr
המצאה,41,invention,hmṣʾh
הישיבה,41,the meeting,hyšyvh
עמוס,41,loaded,ʿmws
האחריות,41,responsibility,hʾḥrywt
סתירה,41,contradiction,styrh
ביאליק,41,bialik,vyʾlyq
מתנגד,41,opposed,mtngd
זכר,41,male,zkr
רשום,41,registered,ršwm
חיות,41,liveliness,ḥywt
פסקה,41,paragraph,psqh
הערים,41,the cities,hʿrym
אודה,41,ode,ʾwdh
תוסיף,41,add,twsyp
הסקריפט,41,the script,hsqrypṭ
ציטוט,41,quote,ṣyṭwṭ
ההערה,41,the note,hhʿrh
ציר,41,axis,ṣyr
הלך,40,wayfarer,hlk
נעים,40,pleasant,nʿym
הולכת,40,going,hwlkt
זוכרת,40,remember,zwkrt
וזהו,40,and that's it.,wzhw
עין,40,eye,ʿyn
בניין,40,building,vnyyn
באו,40,they came,vʾw
תקין,40,proper,tqyn
מסוגל,40,able,mswgl
ילדה,40,girl,yldh
השינויים,40,the changes,hšynwyym
מבינה,40,understands,mvynh
בשירות,40,in service,všyrwt
ישר,40,straight,yšr
חסרת,40,Lack,ḥsrt
כביש,40,road,kvyš
צדדים,40,Sides,ṣddym
הוקם,40,Established,hwqm
באחד,40,In one,vʾḥd
זוכה,40,winner,zwkh
צעירים,40,Young,ṣʿyrym
שנראה,40,Looked,šnrʾh
ראשונה,40,First,rʾšwnh
העיקרית,40,The main,hʿyqryt
הכסף,40,The money,hksp
ובכן,40,Well,wvkn
משבר,40,crisis,mšvr
שיכול,40,That can,šykwl
הפכו,40,Have become,hpkw
דעתו,40,His mind,dʿtw
מעטים,40,few,mʿṭym
הנדרשים,40,Required,hndršym
החמישי,40,The fifth,hḥmyšy
הבאות,40,The following,hvʾwt
שורות,40,Lines,šwrwt
יחיד,40,only,yḥyd
בטעות,40,mistakenly,vṭʿwt
כניסה,40,entry,knysh
להתקיים,40,Exist,lhtqyym
אדומים,40,Red,ʾdwmym
מטרה,40,purpose,mṭrh
בודד,40,single,vwdd
תוכלו,40,You can,twklw
מוצלח,40,successful,mwṣlḥ
יושב,40,Sitting,ywšv
מונח,40,term,mwnḥ
פניה,40,Her face,pnyh
עיניו,40,His eyes,ʿynyw
האדום,40,The red,hʾdwm
גאוגרפיה,40,geography,gʾwgrpyh
המקדש,40,The Temple,hmqdš
היסטורית,40,Historical,hysṭwryt
דיו,40,ink,dyw
האנושית,40,The human,hʾnwšyt
העות,40,The Ottoman,hʿwt
בריטניה,40,UK,vryṭnyh
נוהג,40,practice,nwhg
מטה,40,down,mṭh
ברורים,40,Clear,vrwrym
אמו,40,emu,ʾmw
תגיד,40,Say,tgyd
פרוייקט,40,Project,prwyyqṭ
חושן,40,Hoshen,ḥwšn
התבניות,40,The molds,htvnywt
לתבנית,40,To a pattern,ltvnyt
טרול,40,Troll,ṭrwl
גבר,39,man,gvr
הבניין,39,The building,hvnyyn
שישי,39,Friday,šyšy
סיכוי,39,A chance,sykwy
מחלת,39,Illness,mḥlt
האזור,39,The area,hʾzwr
לשבת,39,sit,lšvt
לתקופה,39,For a period,ltqwph
רשמית,39,officially,ršmyt
יחסים,39,Relationships,yḥsym
ואחרים,39,And others,wʾḥrym
והאם,39,And whether,whʾm
אוטומטית,39,Automatically,ʾwṭwmṭyt
הצבת,39,Placing,hṣvt
אזהרה,39,warning,ʾzhrh
לוותר,39,Give up,lwwtr
הנאה,39,pleasure,hnʾh
ציבורית,39,Public,ṣyvwryt
כללים,39,Rules,kllym
עבודת,39,Work,ʿvwdt
זר,39,foreign,zr
הלאה,39,further,hlʾh
הרוב,39,The majority,hrwv
הופיעו,39,Have appeared,hwpyʿw
דומים,39,Similar,dwmym
ידועה,39,Known,ydwʿh
חוזרים,39,Returning,ḥwzrym
לנשים,39,To women,lnšym
לעזוב,39,leave,lʿzwv
כוכב,39,star,kwkv
השחקנים,39,The players,hšḥqnym
מנהיג,39,leader,mnhyg
אסף,39,Assaf,ʾsp
בערב,39,In the evening,vʿrv
כף,39,tablespoon,kp
משך,39,duration,mšk
נדה,39,Nodded,ndh
מורכבת,39,Made up of,mwrkvt
הצד,39,The side,hṣd
משתנה,39,variable,mštnh
צלב,39,cross,ṣlv
עליהן,39,On them,ʿlyhn
אחראי,39,responsible,ʾḥrʾy
כדורגל,39,football,kdwrgl
ברשימה,39,In the list,vršymh
חוקית,39,Illegal,ḥwqyt
פרקים,39,Episodes,prqym
לנסח,39,formulate,lnsḥ
בקישורים,39,In the links,vqyšwrym
המלוכה,39,The royal,hmlwkh
לעדכן,39,update,lʿdkn
פנייה,38,turn,pnyyh
לדרך,38,On the way,ldrk
נפש,38,soul,npš
חומרים,38,Materials,ḥwmrym
לפרסם,38,publish,lprsm
בענייני,38,In my case,vʿnyyny
בחיי,38,In my life,vḥyy
חייהם,38,Their lives,ḥyyhm
חשמל,38,electricity,ḥšml
פורנוגרפיה,38,pornography,pwrnwgrpyh
פורום,38,forum,pwrwm
סנט,38,senate,snṭ
לטיפול,38,For treatment,lṭypwl
הדמות,38,The character,hdmwt
מזל,38,luck,mzl
המודעות,38,Awareness,hmwdʿwt
המסחר,38,Trade,hmsḥr
הקיים,38,Existing,hqyym
המשחקים,38,The games,hmšḥqym
לזכור,38,remember,lzkwr
ראובן,38,Reuben,rʾwvn
בגין,38,for,vgyn
יסוד,38,fundamental,yswd
קטעים,38,Excerpts,qṭʿym
לייצר,38,Produce,lyyṣr
החליטה,38,Decided,hḥlyṭh
גל,38,wave,gl
במאי,38,May,vmʾy
עומדת,38,Stands,ʿwmdt
למלחמה,38,For war,lmlḥmh
שיטה,38,method,šyṭh
דובר,38,spokesman,dwvr
דת,38,religion,dt
שער,38,gate,šʿr
לארצות,38,To the countries,lʾrṣwt
תרומות,38,Donations,trwmwt
ניכר,38,Evident,nykr
ולמה,38,And why,wlmh
רכש,38,procurement,rkš
הדו,38,The bilingual,hdw
מתאימה,38,Fits,mtʾymh
פניו,38,His face,pnyw
המקורית,38,The original,hmqwryt
הצטרפו,38,Join,hṣṭrpw
הראשונות,38,The first,hrʾšwnwt
ואחד,38,And one,wʾḥd
הופכים,38,Become,hwpkym
עשרים,38,twenty,ʿšrym
האוניברסיטה,38,University,hʾwnyvrsyṭh
פירוש,38,Interpretation,pyrwš
לחסום,38,block,lḥswm
נסה,38,Try,nsh
קראתי,38,I have read,qrʾty
ידו,38,His hand,ydw
העובדת,38,The employee,hʿwvdt
שטויות,38,nonsense,šṭwywt
האנציקלופדיה,38,The Encyclopedia,hʾnṣyqlwpdyh
למחיקה,38,To delete,lmḥyqh
מונחים,38,Terms,mwnḥym
פליטים,38,Refugees,plyṭym
בתרגום,38,translation,vtrgwm
חתימה,38,signature,ḥtymh
בקיבוץ,38,In the kibbutz,vqyvwṣ
הידעת,38,Did you know,hydʿt
שמת,38,Died,šmt
קופר,38,Cooper,qwpr
אעשה,37,I will,ʾʿšh
בבוקר,37,In the morning,vvwqr
הכללי,37,The general,hklly
שנייה,37,A second,šnyyh
נו,37,Come on,nw
ויפה,37,And beautiful,wyph
הקרובה,37,Upcoming,hqrwvh
הציע,37,Suggested,hṣyʿ
קובע,37,Determines,qwvʿ
שמא,37,perhaps,šmʾ
עלו,37,Rose,ʿlw
חמור,37,serious,ḥmwr
ישיבת,37,A yeshiva,yšyvt
מגוון,37,diverse,mgwwn
יוכלו,37,Will be able to,ywklw
שמי,37,Semitic,šmy
מכירים,37,Are familiar with,mkyrym
דמי,37,bloody,dmy
הערבית,37,Arabic,hʿrvyt
עשויה,37,Made of,ʿšwyh
נתון,37,given,ntwn
הבינלאומי,37,International,hvynlʾwmy
החליטו,37,Have decided,hḥlyṭw
הטובה,37,The good,hṭwvh
לזכות,37,win,lzkwt
ב־,37,on-,v־
נמצאו,37,Found,nmṣʾw
הפתיחה,37,The opening,hptyḥh
הקטן,37,The little one,hqṭn
העובדות,37,The facts,hʿwvdwt
התקבלה,37,Has been accepted,htqvlh
כלכלית,37,Economic economic,klklyt
החשוב,37,The important,hḥšwv
העלה,37,Up,hʿlh
האנרגיה,37,The energy,hʾnrgyh
האמריקני,37,American,hʾmryqny
חוזה,37,contract,ḥwzh
קצרים,37,Short,qṣrym
ההודעה,37,The message,hhwdʿh
הפוליטית,37,The political,hpwlyṭyt
בחוק,37,In the law,vḥwq
דניאל,37,Daniel,dnyʾl
מרדכי,37,Mordechai,mrdky
איראן,37,Iran,ʾyrʾn
כולה,37,All,kwlh
המדע,37,Science,hmdʿ
ישן,37,old,yšn
היהדות,37,Judaism,hyhdwt
נשלח,37,Sent,nšlḥ
אג,37,Eg,ʾg
מוזיקה,37,Music,mwzyqh
שולחן,37,table,šwlḥn
חיוביות,37,positivity,ḥywvywt
הסוף,37,The end,hswp
אירועי,37,Events,ʾyrwʿy
יצר,37,inclination,yṣr
סן,37,San,sn
קובץ,37,file,qwvṣ
כלם,37,All,klm
סקוטלנד,37,Scotland,sqwṭlnd
הערה,37,remark,hʿrh
דיסק,37,disk,dysq
טענות,37,Claims,ṭʿnwt
פונקציה,37,function,pwnqṣyh
מהבית,36,From home,mhvyt
שמואל,36,Samuel,šmwʾl
ביטחון,36,Confidence,vyṭḥwn
להחזיק,36,hold,lhḥzyq
חיה,36,animal,ḥyh
עצמית,36,Self,ʿṣmyt
יצאה,36,Came out,yṣʾh
מפעל,36,factory,mpʿl
אנטי,36,anti,ʾnṭy
שהייתי,36,That I was,šhyyty
ירד,36,Got off,yrd
הדעת,36,Mind,hdʿt
העוסק,36,The dealer,hʿwsq
שאינה,36,Not,šʾynh
אב,36,father,ʾv
חידוש,36,Renewal,ḥydwš
ריכוז,36,Concentration,rykwz
שעדיין,36,Still,šʿdyyn
לברר,36,clarify,lvrr
לאף,36,To the nose,lʾp
הכותב,36,The writer,hkwtv
ואמר,36,And said,wʾmr
שערך,36,Who made,šʿrk
ענף,36,branch,ʿnp
קוריאה,36,Korea,qwryʾh
מבני,36,structural,mvny
מיום,36,From the day,mywm
להלן,36,below,lhln
ציבור,36,Public,ṣyvwr
התוצאה,36,The result,htwṣʾh
תזונה,36,diet,tzwnh
להגדיר,36,define,lhgdyr
מכונה,36,machine,mkwnh
האדמה,36,The earth,hʾdmh
סעיף,36,section,sʿyp
האוצר,36,The Treasury,hʾwṣr
הכוכבים,36,The stars,hkwkvym
בכנסת,36,In the Knesset,vknst
מועצת,36,A council,mwʿṣt
שיתוף,36,Sharing,šytwp
בחירות,36,Elections,vḥyrwt
העברת,36,A transfer,hʿvrt
הצוות,36,The team,hṣwwt
לסדר,36,order,lsdr
בחר,36,Choose,vḥr
רוטשילד,36,Rothschild,rwṭšyld
חלב,36,milk,ḥlv
המוח,36,The mind,hmwḥ
הקיץ,36,Summer,hqyṣ
מבוסס,36,based,mvwss
יצרו,36,Have created,yṣrw
התפתחות,36,development,htptḥwt
מייקל,36,Michael,myyql
הבסיס,36,The base,hvsys
התנאים,36,The conditions,htnʾym
רובם,36,Most of them,rwvm
למספר,36,number,lmspr
מבית,36,From home,mvyt
המיתוס,36,The myth,hmytws
מפורט,36,detailed,mpwrṭ
להגיב,36,respond,lhgyv
אפשרויות,36,Options,ʾpšrwywt
האומה,36,The nation,hʾwmh
בעצמך,36,Yourself,vʿṣmk
הקדוש,36,Holy,hqdwš
כללית,36,General,kllyt
פסק,36,A break,psq
הידע,36,Knowledge,hydʿ
בוא,36,Come on,vwʾ
פעל,36,Acted,pʿl
ורדן,36,Rose,wrdn
אסיר,36,prisoner,ʾsyr
צבאיים,36,Military,ṣvʾyym
ואגב,36,And by the way,wʾgv
מדע,36,science,mdʿ
נימוק,36,A reasoning,nymwq
עריכות,36,Edits,ʿrykwt
בלונדון,36,In London,vlwndwn
הירח,36,The moon,hyrḥ
הלכת,36,You went,hlkt
היפנית,36,Japanese,hypnyt
ויקיפדית,36,Wikipedia,wyqypdyt
לתמונה,36,To a picture,ltmwnh
בוויקי,36,In Wiki,vwwyqy
העמוד,36,The page,hʿmwd
פירוט,36,Detail,pyrwṭ
חסום,36,blocked,ḥswm
הידיעה,35,Knowing,hydyʿh
מקומו,35,Its place,mqwmw
לנהל,35,manage,lnhl
בעיניים,35,In the eyes,vʿynyym
הנחה,35,discount,hnḥh
בתחילה,35,Initially,vtḥylh
לשכנע,35,convince,lšknʿ
שיחות,35,Calls,šyḥwt
בתגובה,35,In response,vtgwvh
השקט,35,The quiet,hšqṭ
והנה,35,And here,whnh
החלטת,35,You have decided,hḥlṭt
מסויים,35,Some,mswyym
הכלל,35,Rule,hkll
שרוב,35,Most,šrwv
העיתון,35,The newspaper,hʿytwn
הטלוויזיה,35,TV,hṭlwwyzyh
לרשות,35,To the disposal,lršwt
לדבריו,35,According to him,ldvryw
הצליחה,35,Succeeded,hṣlyḥh
מבינים,35,Understand,mvynym
לצפות,35,expect,lṣpwt
הוביל,35,Led to,hwvyl
הקרובים,35,Nearby,hqrwvym
בכפר,35,In the village,vkpr
המועצה,35,Council,hmwʿṣh
המעבר,35,The passage,hmʿvr
להתעלם,35,ignore,lhtʿlm
ידעו,35,Have known,ydʿw
ואחרי,35,And after,wʾḥry
שב,35,Returned,šv
נדרש,35,Required,ndrš
המקורות,35,The sources,hmqwrwt
שמן,35,oil,šmn
מצרים,35,Egypt,mṣrym
המקרה,35,The case,hmqrh
הקולנוע,35,Cinema,hqwlnwʿ
קשים,35,Hard,qšym
לשאת,35,bear,lšʾt
המחשבה,35,The thought,hmḥšvh
רצון,35,desire,rṣwn
מדעי,35,scientific,mdʿy
סיבות,35,Reasons,syvwt
לשתי,35,To both,lšty
שלישי,35,third,šlyšy
המאבק,35,The fight,hmʾvq
חלקיקים,35,Particles,ḥlqyqym
קולות,35,Voices,qwlwt
פועלים,35,Workers,pwʿlym
הרצוג,35,Herzog,hrṣwg
הלוחמים,35,The fighters,hlwḥmym
המזון,35,The food,hmzwn
לבריאות,35,To the health,lvryʾwt
תיקון,35,Repair,tyqwn
זוגות,35,Pairs,zwgwt
שעדיף,35,That preferably,šʿdyp
המרכזית,35,The central,hmrkzyt
בפרט,35,in particular,vprṭ
רגל,35,foot,rgl
אירלנד,35,Ireland,ʾyrlnd
החוצה,35,out,hḥwṣh
אחדים,35,some,ʾḥdym
התרגום,35,the translation,htrgwm
בראשו,35,in his head,vrʾšw
בצירוף,35,in conjunction,vṣyrwp
חשיבותו,35,its importance,ḥšyvwtw
נדחתה,35,rejected,ndḥth
שאנו,35,we,šʾnw
ממתי,35,since when,mmty
המין,35,the sex,hmyn
מסכת,35,tractate,mskt
חוות,35,farm,ḥwwt
שכחת,35,you forgot,škḥt
פסח,35,passover,psḥ
הכותרת,35,the title,hkwtrt
השדה,35,the field,hšdh
קנה,35,barrel,qnh
נכתבו,35,written,nktvw
לונדון,35,london,lwndwn
נאלצתי,35,i had to,nʾlṣty
הפצצות,35,bombings,hpṣṣwt
המורחב,35,the extended,hmwrḥv
הפארק,35,the park,hpʾrq
ברוקס,35,brooks,vrwqs
זרים,35,strangers,zrym
במחוז,35,in the district,vmḥwz
שניות,34,seconds,šnywt
בוקר,34,morning,vwqr
הסיבות,34,the reasons,hsyvwt
עליי,34,about me,ʿlyy
הפנימי,34,The inner,hpnymy
כחלק,34,As part of,kḥlq
ההוא,34,that,hhwʾ
לכמה,34,To some,lkmh
גרועה,34,Bad,grwʿh
רגילה,34,Normal,rgylh
בנות,34,Girls,vnwt
סמכות,34,authority,smkwt
בנימין,34,Benjamin,vnymyn
לממשלה,34,To the government,lmmšlh
היסוד,34,The foundation,hyswd
נועד,34,Designed for,nwʿd
מיכל,34,Michal,mykl
וכדומה,34,And the like,wkdwmh
אינטרנט,34,Internet,ʾynṭrnṭ
הדור,34,The generation,hdwr
אחריות,34,responsibility,ʾḥrywt
תופעה,34,phenomenon,twpʿh
כשהיא,34,When she,kšhyʾ
הספורט,34,Sports,hspwrṭ
נערך,34,Edited,nʿrk
חלקו,34,Part of it,ḥlqw
הרקע,34,The background,hrqʿ
הפעילות,34,The activity,hpʿylwt
התעשייה,34,The industry,htʿšyyh
תקדים,34,precedent,tqdym
מלמד,34,Teaches,mlmd
ענק,34,giant,ʿnq
לומדים,34,Learned,lwmdym
היותר,34,The most,hywtr
יפו,34,Jaffa,ypw
עסקים,34,Business,ʿsqym
השתמש,34,Use,hštmš
נוכחות,34,presence,nwkḥwt
מחלה,34,disease,mḥlh
מסודר,34,arranged,mswdr
בים,34,In the sea,vym
בקיץ,34,In the summer,vqyṣ
נרחבים,34,Widespread,nrḥvym
שלטון,34,government,šlṭwn
קיצוני,34,Extreme,qyṣwny
רישום,34,Registration,ryšwm
זקוק,34,Need,zqwq
השתנה,34,Changed,hštnh
השורה,34,The line,hšwrh
ישראליים,34,Israeli,yšrʾlyym
יעשה,34,Will,yʿšh
שיטות,34,Methods,šyṭwt
הגרסה,34,The version,hgrsh
נראים,34,Look,nrʾym
לדוגמא,34,For example,ldwgmʾ
המדבר,34,Desert,hmdvr
פותח,34,opener,pwtḥ
באוקטובר,34,In October,vʾwqṭwvr
גיוס,34,recruitment,gyws
צורות,34,Forms,ṣwrwt
העשרים,34,The twenties,hʿšrym
ספריו,34,His books,spryw
היחס,34,Attitude,hyḥs
הבעיות,34,The problems,hvʿywt
פרסומת,34,advertising,prswmt
רעש,34,noise,rʿš
מערב,34,West,mʿrv
פרופסור,34,professor,prwpswr
האמריקאית,34,American,hʾmryqʾyt
השעה,34,The hour,hšʿh
חיבור,34,Connection,ḥyvwr
זכור,34,remembered,zkwr
התוספת,34,The addition,htwspt
ממשלה,34,government,mmšlh
חסרה,34,Missing,ḥsrh
מינית,34,Sexual,mynyt
המשתתפים,34,Participants,hmšttpym
שוק,34,market,šwq
עשית,34,You did,ʿšyt
הקו,34,The line,hqw
פילוסופיה,34,philosophy,pylwswpyh
מפעילים,34,Operations,mpʿylym
בקול,34,Loudly,vqwl
המערה,34,The cave,hmʿrh
האחת,34,One,hʾḥt
בקישור,34,In a link,vqyšwr
בדוק,34,Check,vdwq
אריאל,34,Ariel,ʾryʾl
חולק,34,Shares,ḥwlq
תמצא,34,You will find,tmṣʾ
בוצעו,34,Have been carried out,vwṣʿw
מורחבים,34,Extended,mwrḥvym
זמני,34,temporary,zmny
מבחינתך,34,For you,mvḥyntk
שנמחקו,34,Deleted,šnmḥqw
אערוך,34,I will,ʾʿrwk
תשובתי,34,My answer,tšwvty
אימייל,34,Email,ʾymyyl
רוזן,34,count,rwzn
ולמלא,34,And fill,wlmlʾ
שנמצא,33,Found,šnmṣʾ
הדעות,33,Opinions,hdʿwt
הביאה,33,Brought,hvyʾh
נעשו,33,Have been made,nʿšw
עיניים,33,Eyes,ʿynyym
וכמובן,33,And of course,wkmwvn
דלת,33,door,dlt
דיברתי,33,I spoke,dyvrty
העבר,33,The past,hʿvr
ועכשיו,33,And now,wʿkšyw
מכירה,33,sale,mkyrh
יוצאת,33,Exits,ywṣʾt
התגובה,33,The response,htgwvh
האישי,33,The personal,hʾyšy
אתרי,33,ethereal,ʾtry
באותם,33,In the same,vʾwtm
החדשים,33,The new ones,hḥdšym
מאלה,33,From those,mʾlh
אסיה,33,Asia,ʾsyh
משותף,33,shared,mšwtp
שפת,33,Lip,špt
מעולה,33,excellent,mʿwlh
מצוין,33,excellent,mṣwyn
שהגיע,33,Who came,šhgyʿ
מתקיימת,33,Take place,mtqyymt
לעצמו,33,himself,lʿṣmw
ראויה,33,Worthy,rʾwyh
מדעית,33,Scientific,mdʿyt
עצום,33,closed,ʿṣwm
בלשון,33,In the tongue,vlšwn
האקדמיה,33,Academy,hʾqdmyh
ענה,33,Answered,ʿnh
הופעות,33,Appearances,hwpʿwt
הטובים,33,The good,hṭwvym
לימודי,33,Studies,lymwdy
מוגדר,33,defined,mwgdr
בצורת,33,Drought,vṣwrt
אישיות,33,personality,ʾyšywt
מוביל,33,leading,mwvyl
מקבלת,33,Gets accepted,mqvlt
בכלי,33,In the tool,vkly
האזרחים,33,Civilians,hʾzrḥym
הליגה,33,The league,hlygh
הצעות,33,Offers,hṣʿwt
שרד,33,office,šrd
אוסקר,33,Oscar,ʾwsqr
במערב,33,In the west,vmʿrv
בחיל,33,In the Corps,vḥyl
גילה,33,Revealed,gylh
לנשיא,33,To the president,lnšyʾ
לבקר,33,visit,lvqr
השבת,33,Restore,hšvt
העפילה,33,An qualifying,hʿpylh
מסך,33,screen,msk
בצבע,33,In color,vṣvʿ
בוש,33,Bush,vwš
בוושינגטון,33,In Washington,vwwšyngṭwn
הישן,33,Old,hyšn
תרומה,33,contribution,trwmh
ראתה,33,Saw,rʾth
דומות,33,Similar,dwmwt
לוחמים,33,Fighters,lwḥmym
לקנות,33,buy,lqnwt
הכללים,33,Rules,hkllym
הרחוב,33,The street,hrḥwv
דתית,33,Religious,dtyt
משלו,33,His own,mšlw
ההר,33,Mountain,hhr
יובל,33,jubilee,ywvl
פריז,33,Paris,pryz
חמורה,33,Severe,ḥmwrh
רשיון,33,license,ršywn
נוצרים,33,Christians,nwṣrym
לנסוע,33,travel,lnswʿ
בצבא,33,In the army,vṣvʾ
האוכלוסין,33,The population,hʾwklwsyn
יבוא,33,import,yvwʾ
מומלצים,33,Recommended,mwmlṣym
הפורטל,33,The portal,hpwrṭl
בבא,33,Baba,vvʾ
פסקאות,33,Paragraphs,psqʾwt
בהתנדבות,33,Voluntarily,vhtndvwt
בלוח,33,In the board,vlwḥ
הפניות,33,Referrals,hpnywt
ארלס,33,Erals,ʾrls
העובד,33,The employee,hʿwvd
מספקים,33,Provide,mspqym
גלובוס,33,globe,glwvws
הגרסאות,33,The versions,hgrsʾwt
וחבל,33,And a pity,wḥvl
מהותי,33,essential,mhwty
הראש,32,The head,hrʾš
שקרה,32,That happened,šqrh
סניף,32,branch,snyp
מדברת,32,speaking,mdvrt
ואחר,32,and another,wʾḥr
הבוקר,32,this morning,hvwqr
לחדר,32,to the room,lḥdr
בכדי,32,in order to,vkdy
אפשרית,32,possible,ʾpšryt
קשורים,32,related,qšwrym
מתחילה,32,beginning,mtḥylh
נותנים,32,give,nwtnym
בקושי,32,barely,vqwšy
הצעתי,32,i proposed,hṣʿty
קיבלה,32,received,qyvlh
חובת,32,duty,ḥwvt
הודיע,32,announced,hwdyʿ
החלטות,32,decisions,hḥlṭwt
מגיעה,32,coming,mgyʿh
מסביר,32,explains,msvyr
המערכה,32,the campaign,hmʿrkh
הורים,32,parents,hwrym
סביבה,32,environment,svyvh
ברמת,32,In the level,vrmt
בסיום,32,At the end of,vsywm
תעשה,32,Do,tʿšh
האירועים,32,Events,hʾyrwʿym
נמוכה,32,Low,nmwkh
בפעילות,32,In an activity,vpʿylwt
תום,32,innocence,twm
שיא,32,record,šyʾ
מוות,32,Death,mwwt
כתבי,32,Writings,ktvy
עוסקים,32,Are engaged,ʿwsqym
היד,32,Hand,hyd
לדברי,32,According to,ldvry
מסביב,32,around,msvyv
לעתיד,32,For the future,lʿtyd
השאלות,32,The questions,hšʾlwt
קיבלו,32,Were received,qyvlw
מטר,32,meter,mṭr
באליפות,32,In the championship,vʾlypwt
