Hebrew,English
פסקה(psqh),paragraph
הערים(hʿrym),the cities
אודה(ʾwdh),ode
תוסיף(twsyp),add
הסקריפט(hsqrypṭ),the script
ציטוט(ṣyṭwṭ),quote
ההערה(hhʿrh),the note
ציר(ṣyr),axis
הלך(hlk),wayfarer
נעים(nʿym),pleasant
הולכת(hwlkt),going
זוכרת(zwkrt),remember
וזהו(wzhw),and that's it.
עין(ʿyn),eye
בניין(vnyyn),building
באו(vʾw),they came
תקין(tqyn),proper
מסוגל(mswgl),able
ילדה(yldh),girl
השינויים(hšynwyym),the changes
מבינה(mvynh),understands
בשירות(všyrwt),in service
ישר(yšr),straight
חסרת(ḥsrt),Lack
כביש(kvyš),road
צדדים(ṣddym),Sides
הוקם(hwqm),Established
באחד(vʾḥd),In one
זוכה(zwkh),winner
צעירים(ṣʿyrym),Young
שנראה(šnrʾh),Looked
ראשונה(rʾšwnh),First
העיקרית(hʿyqryt),The main
הכסף(hksp),The money
ובכן(wvkn),Well
משבר(mšvr),crisis
שיכול(šykwl),That can
הפכו(hpkw),Have become
דעתו(dʿtw),His mind
מעטים(mʿṭym),few
הנדרשים(hndršym),Required
החמישי(hḥmyšy),The fifth
הבאות(hvʾwt),The following
שורות(šwrwt),Lines
יחיד(yḥyd),only
בטעות(vṭʿwt),mistakenly
כניסה(knysh),entry
להתקיים(lhtqyym),Exist
אדומים(ʾdwmym),Red
מטרה(mṭrh),purpose
בודד(vwdd),single
תוכלו(twklw),You can
מוצלח(mwṣlḥ),successful
יושב(ywšv),Sitting
מונח(mwnḥ),term
פניה(pnyh),Her face
עיניו(ʿynyw),His eyes
האדום(hʾdwm),The red
גאוגרפיה(gʾwgrpyh),geography
המקדש(hmqdš),The Temple
היסטורית(hysṭwryt),Historical
דיו(dyw),ink
האנושית(hʾnwšyt),The human
העות(hʿwt),The Ottoman
בריטניה(vryṭnyh),UK
נוהג(nwhg),practice
מטה(mṭh),down
ברורים(vrwrym),Clear
אמו(ʾmw),emu
תגיד(tgyd),Say
פרוייקט(prwyyqṭ),Project
חושן(ḥwšn),Hoshen
התבניות(htvnywt),The molds
לתבנית(ltvnyt),To a pattern
טרול(ṭrwl),Troll
גבר(gvr),man
הבניין(hvnyyn),The building
שישי(šyšy),Friday
סיכוי(sykwy),A chance
מחלת(mḥlt),Illness
האזור(hʾzwr),The area
לשבת(lšvt),sit
לתקופה(ltqwph),For a period
רשמית(ršmyt),officially
יחסים(yḥsym),Relationships
ואחרים(wʾḥrym),And others
והאם(whʾm),And whether
אוטומטית(ʾwṭwmṭyt),Automatically
הצבת(hṣvt),Placing
אזהרה(ʾzhrh),warning
לוותר(lwwtr),Give up
הנאה(hnʾh),pleasure
ציבורית(ṣyvwryt),Public
כללים(kllym),Rules
עבודת(ʿvwdt),Work
זר(zr),foreign
הלאה(hlʾh),further
הרוב(hrwv),The majority
הופיעו(hwpyʿw),Have appeared
דומים(dwmym),Similar
ידועה(ydwʿh),Known
חוזרים(ḥwzrym),Returning
לנשים(lnšym),To women
לעזוב(lʿzwv),leave
כוכב(kwkv),star
השחקנים(hšḥqnym),The players
מנהיג(mnhyg),leader
אסף(ʾsp),Assaf
בערב(vʿrv),In the evening
כף(kp),tablespoon
משך(mšk),duration
נדה(ndh),Nodded
מורכבת(mwrkvt),Made up of
הצד(hṣd),The side
משתנה(mštnh),variable
צלב(ṣlv),cross
עליהן(ʿlyhn),On them
אחראי(ʾḥrʾy),responsible
כדורגל(kdwrgl),football
ברשימה(vršymh),In the list
חוקית(ḥwqyt),Illegal
פרקים(prqym),Episodes
לנסח(lnsḥ),formulate
בקישורים(vqyšwrym),In the links
המלוכה(hmlwkh),The royal
לעדכן(lʿdkn),update
פנייה(pnyyh),turn
לדרך(ldrk),On the way
נפש(npš),soul
חומרים(ḥwmrym),Materials
לפרסם(lprsm),publish
בענייני(vʿnyyny),In my case
בחיי(vḥyy),In my life
חייהם(ḥyyhm),Their lives
חשמל(ḥšml),electricity
פורנוגרפיה(pwrnwgrpyh),pornography
פורום(pwrwm),forum
סנט(snṭ),senate
לטיפול(lṭypwl),For treatment
הדמות(hdmwt),The character
מזל(mzl),luck
המודעות(hmwdʿwt),Awareness
המסחר(hmsḥr),Trade
הקיים(hqyym),Existing
המשחקים(hmšḥqym),The games
לזכור(lzkwr),remember
ראובן(rʾwvn),Reuben
בגין(vgyn),for
יסוד(yswd),fundamental
קטעים(qṭʿym),Excerpts
לייצר(lyyṣr),Produce
החליטה(hḥlyṭh),Decided
גל(gl),wave
במאי(vmʾy),May
עומדת(ʿwmdt),Stands
למלחמה(lmlḥmh),For war
שיטה(šyṭh),method
דובר(dwvr),spokesman
דת(dt),religion
שער(šʿr),gate
לארצות(lʾrṣwt),To the countries
תרומות(trwmwt),Donations
ניכר(nykr),Evident
ולמה(wlmh),And why
רכש(rkš),procurement
הדו(hdw),The bilingual
מתאימה(mtʾymh),Fits
פניו(pnyw),His face
המקורית(hmqwryt),The original
הצטרפו(hṣṭrpw),Join
הראשונות(hrʾšwnwt),The first
ואחד(wʾḥd),And one
הופכים(hwpkym),Become
עשרים(ʿšrym),twenty
האוניברסיטה(hʾwnyvrsyṭh),University
פירוש(pyrwš),Interpretation
לחסום(lḥswm),block
נסה(nsh),Try
קראתי(qrʾty),I have read
ידו(ydw),His hand
העובדת(hʿwvdt),The employee
שטויות(šṭwywt),nonsense
האנציקלופדיה(hʾnṣyqlwpdyh),The Encyclopedia
למחיקה(lmḥyqh),To delete
מונחים(mwnḥym),Terms
פליטים(plyṭym),Refugees
בתרגום(vtrgwm),translation
חתימה(ḥtymh),signature
בקיבוץ(vqyvwṣ),In the kibbutz
הידעת(hydʿt),Did you know
שמת(šmt),Died
קופר(qwpr),Cooper
אעשה(ʾʿšh),I will
בבוקר(vvwqr),In the morning
הכללי(hklly),The general
שנייה(šnyyh),A second
נו(nw),Come on
ויפה(wyph),And beautiful
הקרובה(hqrwvh),Upcoming
הציע(hṣyʿ),Suggested
קובע(qwvʿ),Determines
שמא(šmʾ),perhaps
עלו(ʿlw),Rose
חמור(ḥmwr),serious
ישיבת(yšyvt),A yeshiva
מגוון(mgwwn),diverse
יוכלו(ywklw),Will be able to
שמי(šmy),Semitic
מכירים(mkyrym),Are familiar with
דמי(dmy),bloody
הערבית(hʿrvyt),Arabic
עשויה(ʿšwyh),Made of
נתון(ntwn),given
הבינלאומי(hvynlʾwmy),International
החליטו(hḥlyṭw),Have decided
הטובה(hṭwvh),The good
לזכות(lzkwt),win
ב־(v־),on-
נמצאו(nmṣʾw),Found
הפתיחה(hptyḥh),The opening
הקטן(hqṭn),The little one
העובדות(hʿwvdwt),The facts
התקבלה(htqvlh),Has been accepted
כלכלית(klklyt),Economic economic
החשוב(hḥšwv),The important
העלה(hʿlh),Up
האנרגיה(hʾnrgyh),The energy
האמריקני(hʾmryqny),American
חוזה(ḥwzh),contract
קצרים(qṣrym),Short
ההודעה(hhwdʿh),The message
הפוליטית(hpwlyṭyt),The political
בחוק(vḥwq),In the law
דניאל(dnyʾl),Daniel
מרדכי(mrdky),Mordechai
איראן(ʾyrʾn),Iran
כולה(kwlh),All
המדע(hmdʿ),Science
ישן(yšn),old
היהדות(hyhdwt),Judaism
נשלח(nšlḥ),Sent
אג(ʾg),Eg
מוזיקה(mwzyqh),Music
שולחן(šwlḥn),table
חיוביות(ḥywvywt),positivity
הסוף(hswp),The end
אירועי(ʾyrwʿy),Events
יצר(yṣr),inclination
סן(sn),San
קובץ(qwvṣ),file
כלם(klm),All
סקוטלנד(sqwṭlnd),Scotland
הערה(hʿrh),remark
דיסק(dysq),disk
טענות(ṭʿnwt),Claims
פונקציה(pwnqṣyh),function
מהבית(mhvyt),From home
שמואל(šmwʾl),Samuel
ביטחון(vyṭḥwn),Confidence
להחזיק(lhḥzyq),hold
חיה(ḥyh),animal
עצמית(ʿṣmyt),Self
יצאה(yṣʾh),Came out
מפעל(mpʿl),factory
אנטי(ʾnṭy),anti
שהייתי(šhyyty),That I was
ירד(yrd),Got off
הדעת(hdʿt),Mind
העוסק(hʿwsq),The dealer
שאינה(šʾynh),Not
אב(ʾv),father
חידוש(ḥydwš),Renewal
ריכוז(rykwz),Concentration
שעדיין(šʿdyyn),Still
לברר(lvrr),clarify
לאף(lʾp),To the nose
הכותב(hkwtv),The writer
ואמר(wʾmr),And said
שערך(šʿrk),Who made
ענף(ʿnp),branch
קוריאה(qwryʾh),Korea
מבני(mvny),structural
מיום(mywm),From the day
להלן(lhln),below
ציבור(ṣyvwr),Public
התוצאה(htwṣʾh),The result
תזונה(tzwnh),diet
להגדיר(lhgdyr),define
מכונה(mkwnh),machine
האדמה(hʾdmh),The earth
סעיף(sʿyp),section
האוצר(hʾwṣr),The Treasury
הכוכבים(hkwkvym),The stars
בכנסת(vknst),In the Knesset
מועצת(mwʿṣt),A council
שיתוף(šytwp),Sharing
בחירות(vḥyrwt),Elections
העברת(hʿvrt),A transfer
הצוות(hṣwwt),The team
לסדר(lsdr),order
בחר(vḥr),Choose
רוטשילד(rwṭšyld),Rothschild
חלב(ḥlv),milk
המוח(hmwḥ),The mind
הקיץ(hqyṣ),Summer
מבוסס(mvwss),based
יצרו(yṣrw),Have created
התפתחות(htptḥwt),development
מייקל(myyql),Michael
הבסיס(hvsys),The base
התנאים(htnʾym),The conditions
רובם(rwvm),Most of them
למספר(lmspr),number
מבית(mvyt),From home
המיתוס(hmytws),The myth
מפורט(mpwrṭ),detailed
להגיב(lhgyv),respond
אפשרויות(ʾpšrwywt),Options
האומה(hʾwmh),The nation
בעצמך(vʿṣmk),Yourself
הקדוש(hqdwš),Holy
כללית(kllyt),General
פסק(psq),A break
הידע(hydʿ),Knowledge
בוא(vwʾ),Come on
פעל(pʿl),Acted
ורדן(wrdn),Rose
אסיר(ʾsyr),prisoner
צבאיים(ṣvʾyym),Military
ואגב(wʾgv),And by the way
מדע(mdʿ),science
נימוק(nymwq),A reasoning
עריכות(ʿrykwt),Edits
בלונדון(vlwndwn),In London
הירח(hyrḥ),The moon
הלכת(hlkt),You went
היפנית(hypnyt),Japanese
ויקיפדית(wyqypdyt),Wikipedia
לתמונה(ltmwnh),To a picture
בוויקי(vwwyqy),In Wiki
העמוד(hʿmwd),The page
פירוט(pyrwṭ),Detail
חסום(ḥswm),blocked
הידיעה(hydyʿh),Knowing
מקומו(mqwmw),Its place
לנהל(lnhl),manage
בעיניים(vʿynyym),In the eyes
הנחה(hnḥh),discount
בתחילה(vtḥylh),Initially
לשכנע(lšknʿ),convince
שיחות(šyḥwt),Calls
בתגובה(vtgwvh),In response
השקט(hšqṭ),The quiet
והנה(whnh),And here
החלטת(hḥlṭt),You have decided
מסויים(mswyym),Some
הכלל(hkll),Rule
שרוב(šrwv),Most
העיתון(hʿytwn),The newspaper
הטלוויזיה(hṭlwwyzyh),TV
לרשות(lršwt),To the disposal
לדבריו(ldvryw),According to him
הצליחה(hṣlyḥh),Succeeded
מבינים(mvynym),Understand
לצפות(lṣpwt),expect
הוביל(hwvyl),Led to
הקרובים(hqrwvym),Nearby
בכפר(vkpr),In the village
המועצה(hmwʿṣh),Council
המעבר(hmʿvr),The passage
להתעלם(lhtʿlm),ignore
ידעו(ydʿw),Have known
ואחרי(wʾḥry),And after
שב(šv),Returned
נדרש(ndrš),Required
המקורות(hmqwrwt),The sources
שמן(šmn),oil
מצרים(mṣrym),Egypt
המקרה(hmqrh),The case
הקולנוע(hqwlnwʿ),Cinema
קשים(qšym),Hard
לשאת(lšʾt),bear
המחשבה(hmḥšvh),The thought
רצון(rṣwn),desire
מדעי(mdʿy),scientific
סיבות(syvwt),Reasons
לשתי(lšty),To both
שלישי(šlyšy),third
המאבק(hmʾvq),The fight
חלקיקים(ḥlqyqym),Particles
קולות(qwlwt),Voices
פועלים(pwʿlym),Workers
הרצוג(hrṣwg),Herzog
הלוחמים(hlwḥmym),The fighters
המזון(hmzwn),The food
לבריאות(lvryʾwt),To the health
תיקון(tyqwn),Repair
זוגות(zwgwt),Pairs
שעדיף(šʿdyp),That preferably
המרכזית(hmrkzyt),The central
בפרט(vprṭ),in particular
רגל(rgl),foot
אירלנד(ʾyrlnd),Ireland
החוצה(hḥwṣh),out
אחדים(ʾḥdym),some
התרגום(htrgwm),the translation
בראשו(vrʾšw),in his head
בצירוף(vṣyrwp),in conjunction
חשיבותו(ḥšyvwtw),its importance
נדחתה(ndḥth),rejected
שאנו(šʾnw),we
ממתי(mmty),since when
המין(hmyn),the sex
מסכת(mskt),tractate
חוות(ḥwwt),farm
שכחת(škḥt),you forgot
פסח(psḥ),passover
הכותרת(hkwtrt),the title
השדה(hšdh),the field
קנה(qnh),barrel
נכתבו(nktvw),written
לונדון(lwndwn),london
נאלצתי(nʾlṣty),i had to
הפצצות(hpṣṣwt),bombings
המורחב(hmwrḥv),the extended
הפארק(hpʾrq),the park
ברוקס(vrwqs),brooks
זרים(zrym),strangers
במחוז(vmḥwz),in the district
שניות(šnywt),seconds
בוקר(vwqr),morning
הסיבות(hsyvwt),the reasons
עליי(ʿlyy),about me
הפנימי(hpnymy),The inner
כחלק(kḥlq),As part of
ההוא(hhwʾ),that
לכמה(lkmh),To some
גרועה(grwʿh),Bad
רגילה(rgylh),Normal
בנות(vnwt),Girls
סמכות(smkwt),authority
בנימין(vnymyn),Benjamin
לממשלה(lmmšlh),To the government
היסוד(hyswd),The foundation
נועד(nwʿd),Designed for
מיכל(mykl),Michal
וכדומה(wkdwmh),And the like
אינטרנט(ʾynṭrnṭ),Internet
הדור(hdwr),The generation
אחריות(ʾḥrywt),responsibility
תופעה(twpʿh),phenomenon
כשהיא(kšhyʾ),When she
הספורט(hspwrṭ),Sports
נערך(nʿrk),Edited
חלקו(ḥlqw),Part of it
הרקע(hrqʿ),The background
הפעילות(hpʿylwt),The activity
התעשייה(htʿšyyh),The industry
תקדים(tqdym),precedent
מלמד(mlmd),Teaches
ענק(ʿnq),giant
לומדים(lwmdym),Learned
היותר(hywtr),The most
יפו(ypw),Jaffa
עסקים(ʿsqym),Business
השתמש(hštmš),Use
נוכחות(nwkḥwt),presence
מחלה(mḥlh),disease
מסודר(mswdr),arranged
בים(vym),In the sea
בקיץ(vqyṣ),In the summer
נרחבים(nrḥvym),Widespread
שלטון(šlṭwn),government
קיצוני(qyṣwny),Extreme
רישום(ryšwm),Registration
זקוק(zqwq),Need
השתנה(hštnh),Changed
השורה(hšwrh),The line
ישראליים(yšrʾlyym),Israeli
יעשה(yʿšh),Will
שיטות(šyṭwt),Methods
הגרסה(hgrsh),The version
נראים(nrʾym),Look
לדוגמא(ldwgmʾ),For example
המדבר(hmdvr),Desert
פותח(pwtḥ),opener
באוקטובר(vʾwqṭwvr),In October
גיוס(gyws),recruitment
צורות(ṣwrwt),Forms
העשרים(hʿšrym),The twenties
ספריו(spryw),His books
היחס(hyḥs),Attitude
הבעיות(hvʿywt),The problems
פרסומת(prswmt),advertising
רעש(rʿš),noise
מערב(mʿrv),West
פרופסור(prwpswr),professor
האמריקאית(hʾmryqʾyt),American
השעה(hšʿh),The hour
חיבור(ḥyvwr),Connection
זכור(zkwr),remembered
התוספת(htwspt),The addition
ממשלה(mmšlh),government
חסרה(ḥsrh),Missing
מינית(mynyt),Sexual
המשתתפים(hmšttpym),Participants
שוק(šwq),market
עשית(ʿšyt),You did
הקו(hqw),The line
פילוסופיה(pylwswpyh),philosophy
מפעילים(mpʿylym),Operations
בקול(vqwl),Loudly
המערה(hmʿrh),The cave
האחת(hʾḥt),One
בקישור(vqyšwr),In a link
בדוק(vdwq),Check
אריאל(ʾryʾl),Ariel
חולק(ḥwlq),Shares
תמצא(tmṣʾ),You will find
בוצעו(vwṣʿw),Have been carried out
מורחבים(mwrḥvym),Extended
זמני(zmny),temporary
מבחינתך(mvḥyntk),For you
שנמחקו(šnmḥqw),Deleted
אערוך(ʾʿrwk),I will
תשובתי(tšwvty),My answer
אימייל(ʾymyyl),Email
רוזן(rwzn),count
ולמלא(wlmlʾ),And fill
שנמצא(šnmṣʾ),Found
הדעות(hdʿwt),Opinions
הביאה(hvyʾh),Brought
נעשו(nʿšw),Have been made
עיניים(ʿynyym),Eyes
וכמובן(wkmwvn),And of course
דלת(dlt),door
דיברתי(dyvrty),I spoke
העבר(hʿvr),The past
ועכשיו(wʿkšyw),And now
מכירה(mkyrh),sale
יוצאת(ywṣʾt),Exits
התגובה(htgwvh),The response
האישי(hʾyšy),The personal
אתרי(ʾtry),ethereal
באותם(vʾwtm),In the same
החדשים(hḥdšym),The new ones
מאלה(mʾlh),From those
אסיה(ʾsyh),Asia
משותף(mšwtp),shared
שפת(špt),Lip
מעולה(mʿwlh),excellent
מצוין(mṣwyn),excellent
שהגיע(šhgyʿ),Who came
מתקיימת(mtqyymt),Take place
לעצמו(lʿṣmw),himself
ראויה(rʾwyh),Worthy
מדעית(mdʿyt),Scientific
עצום(ʿṣwm),closed
בלשון(vlšwn),In the tongue
האקדמיה(hʾqdmyh),Academy
ענה(ʿnh),Answered
הופעות(hwpʿwt),Appearances
הטובים(hṭwvym),The good
לימודי(lymwdy),Studies
מוגדר(mwgdr),defined
בצורת(vṣwrt),Drought
אישיות(ʾyšywt),personality
מוביל(mwvyl),leading
מקבלת(mqvlt),Gets accepted
בכלי(vkly),In the tool
האזרחים(hʾzrḥym),Civilians
הליגה(hlygh),The league
הצעות(hṣʿwt),Offers
שרד(šrd),office
אוסקר(ʾwsqr),Oscar
במערב(vmʿrv),In the west
בחיל(vḥyl),In the Corps
גילה(gylh),Revealed
לנשיא(lnšyʾ),To the president
לבקר(lvqr),visit
השבת(hšvt),Restore
העפילה(hʿpylh),An qualifying
מסך(msk),screen
בצבע(vṣvʿ),In color
בוש(vwš),Bush
בוושינגטון(vwwšyngṭwn),In Washington
הישן(hyšn),Old
תרומה(trwmh),contribution
ראתה(rʾth),Saw
דומות(dwmwt),Similar
לוחמים(lwḥmym),Fighters
לקנות(lqnwt),buy
הכללים(hkllym),Rules
הרחוב(hrḥwv),The street
דתית(dtyt),Religious
משלו(mšlw),His own
ההר(hhr),Mountain
יובל(ywvl),jubilee
פריז(pryz),Paris
חמורה(ḥmwrh),Severe
רשיון(ršywn),license
נוצרים(nwṣrym),Christians
לנסוע(lnswʿ),travel
בצבא(vṣvʾ),In the army
האוכלוסין(hʾwklwsyn),The population
יבוא(yvwʾ),import
מומלצים(mwmlṣym),Recommended
הפורטל(hpwrṭl),The portal
בבא(vvʾ),Baba
פסקאות(psqʾwt),Paragraphs
בהתנדבות(vhtndvwt),Voluntarily
בלוח(vlwḥ),In the board
הפניות(hpnywt),Referrals
ארלס(ʾrls),Erals
העובד(hʿwvd),The employee
מספקים(mspqym),Provide
גלובוס(glwvws),globe
הגרסאות(hgrsʾwt),The versions
וחבל(wḥvl),And a pity
מהותי(mhwty),essential
הראש(hrʾš),The head
שקרה(šqrh),That happened
סניף(snyp),branch
מדברת(mdvrt),speaking
ואחר(wʾḥr),and another
הבוקר(hvwqr),this morning
לחדר(lḥdr),to the room
בכדי(vkdy),in order to
אפשרית(ʾpšryt),possible
קשורים(qšwrym),related
מתחילה(mtḥylh),beginning
נותנים(nwtnym),give
בקושי(vqwšy),barely
הצעתי(hṣʿty),i proposed
קיבלה(qyvlh),received
חובת(ḥwvt),duty
הודיע(hwdyʿ),announced
החלטות(hḥlṭwt),decisions
מגיעה(mgyʿh),coming
מסביר(msvyr),explains
המערכה(hmʿrkh),the campaign
הורים(hwrym),parents
סביבה(svyvh),environment
ברמת(vrmt),In the level
בסיום(vsywm),At the end of
תעשה(tʿšh),Do
האירועים(hʾyrwʿym),Events
נמוכה(nmwkh),Low
בפעילות(vpʿylwt),In an activity
תום(twm),innocence
שיא(šyʾ),record
מוות(mwwt),Death
כתבי(ktvy),Writings
עוסקים(ʿwsqym),Are engaged
היד(hyd),Hand
לדברי(ldvry),According to
מסביב(msvyv),around
לעתיד(lʿtyd),For the future
השאלות(hšʾlwt),The questions
קיבלו(qyvlw),Were received
מטר(mṭr),meter
באליפות(vʾlypwt),In the championship
הקריירה(hqryyrh),The career
התפקיד(htpqyd),The job
שיחק(šyḥq),Played
בחייו(vḥyyw),In his life
התהליך(hthlyk),The process
כספי(kspy),financial
להגנת(lhgnt),In defense
עיקר(ʿyqr),The main thing
נערכו(nʿrkw),Have been held
המשימה(hmšymh),The task
בשבת(všvt),On Saturday
במרחק(vmrḥq),In a distance
עדויות(ʿdwywt),Evidence
הידוע(hydwʿ),The well -known
בלב(vlv),In the heart
שמע(šmʿ),audio
שפות(špwt),Languages
משל(mšl),parable
שיותר(šywtr),That more
השטח(hšṭḥ),The area
שזהו(šzhw),That is
בולט(vwlṭ),prominent
פתוחה(ptwḥh),Open
קרבות(qrvwt),Battles
מלכתחילה(mlktḥylh),from the start
הדגל(hdgl),The flag
מגלה(mglh),Reveals
שואל(šwʾl),Asking
לדברים(ldvrym),To things
מבוססת(mvwsst),Based
שרוצה(šrwṣh),Who wants
בשאלה(všʾlh),In the question
האופן(hʾwpn),The way
ביקשתי(vyqšty),I have asked for
תחנת(tḥnt),A station
העיניים(hʿynyym),The eyes
ההגדרה(hhgdrh),The setting
פרה(prh),cow
מילא(mylʾ),Has filled
מנחם(mnḥm),Comforted
כיבוש(kyvwš),Occupation
שרידי(šrydy),Remains
חלה(ḥlh),Applaud
האקלים(hʾqlym),The climate
תלמיד(tlmyd),student
מיוחדים(mywḥdym),Special
המזרח(hmzrḥ),Eastern
הערבים(hʿrvym),The Arabs
ערן(ʿrn),Eran
מחק(mḥq),eraser
בכתיבת(vktyvt),In writing
חש(ḥš),Feel
אחידות(ʾḥydwt),uniformity
שיקול(šyqwl),A consideration
למשפחת(lmšpḥt),To a family
תקן(tqn),standard
מטרת(mṭrt),The purpose
ממילא(mmylʾ),in any case
להצטרף(lhṣṭrp),join
מוצג(mwṣg),Shown
נפוצה(npwṣh),Common
הצורה(hṣwrh),Shape
האופוזיציה(hʾwpwzyṣyh),The opposition
למיטב(lmyṭv),To the best of
הנוסחה(hnwsḥh),The formula
אזרחות(ʾzrḥwt),citizenship
אטום(ʾṭwm),opaque
שלפני(šlpny),Before
עוברים(ʿwvrym),Embryos
להפריד(lhpryd),separate
מועד(mwʿd),Date
מתקשה(mtqšh),Hardens
למות(lmwt),die
הטלפון(hṭlpwn),The phone
הסתם(hstm),Just
יומיים(ywmyym),Two days
ביקש(vyqš),Asked for
קשרים(qšrym),Ties
זמנית(zmnyt),temporarily
הנושאים(hnwšʾym),The topics
אהיה(ʾhyh),I'll be
הציבורית(hṣyvwryt),The public
היועץ(hywʿṣ),The consultant
ארוכות(ʾrwkwt),Long
בתנאי(vtnʾy),Provided
שאמר(šʾmr),Who said
הגישה(hgyšh),Access
במשחקי(vmšḥqy),In the games
בבני(vvny),In my sons
להסתיר(lhstyr),hide
מכבי(mkvy),Maccabi
כיף(kyp),fun
בפברואר(vpvrwʾr),In February
תוקף(twqp),validity
בריא(vryʾ),healthy
האל(hʾl),God
שנכתב(šnktv),Written
בינינו(vynynw),Between us
שבהן(švhn),Where
ניצח(nyṣḥ),Won
שלילי(šlyly),negative
הרווח(hrwwḥ),The profit
בפרויקט(vprwyqṭ),In the project
וחלק(wḥlq),And some
בודדים(vwddym),Lonely
המועדון(hmwʿdwn),The club
פול(pwl),pool
פתוחים(ptwḥym),Open
הקהל(hqhl),Audience
בכוח(vkwḥ),By force
סוחר(swḥr),merchant
מרד(mrd),revolt
כוכבא(kwkvʾ),Kochba
מחכה(mḥkh),Wait
מכון(mkwn),institute
בגן(vgn),In the garden
ייעוץ(yyʿwṣ),Advice
איטליה(ʾyṭlyh),Italy
יוצאים(ywṣʾym),Come out
לוחם(lwḥm),fighter
הקרקע(hqrqʿ),The ground
בשיתוף(všytwp),In conjunction
להתגורר(lhtgwrr),reside
ריק(ryq),empty
במהרה(vmhrh),soon
לתפוס(ltpws),catch
סדרות(sdrwt),Series
הנקודה(hnqwdh),The point
נרחבת(nrḥvt),Widespread
אפס(ʾps),zero
מקצועיים(mqṣwʿyym),Professional
הבדואים(hvdwʾym),Bedouin
פרץ(prṣ),breach
במילה(vmylh),In the word
המנדט(hmndṭ),Mandate
בסמוך(vsmwk),near
צחוק(ṣḥwq),laughter
זיהוי(zyhwy),Identification
לצבא(lṣvʾ),To the army
חברתית(ḥvrtyt),Social
מקיף(mqyp),comprehensive
ברשימת(vršymt),On the list
ברזיל(vrzyl),Brazil
במובן(vmwvn),In the sense
אזרחי(ʾzrḥy),civil
שואלים(šwʾlym),Ask
נולדה(nwldh),Born
תחרות(tḥrwt),competition
ראשו(rʾšw),His head
ההוצאה(hhwṣʾh),The expense
הראשית(hrʾšyt),The main one
מסלול(mslwl),orbit
למשפט(lmšpṭ),For trial
עליכם(ʿlykm),On you
גמל(gml),camel
להירשם(lhyršm),To sign up
סבירה(svyrh),Reasonable
מחיקת(mḥyqt),Erasing
לקטגוריה(lqṭgwryh),To the category
למרחב(lmrḥv),To space
בשפות(všpwt),In the languages
בדרגת(vdrgt),at the level of
פרטית(prṭyt),private
אינסולין(ʾynswlyn),insulin
יעלי(yʿly),yaeli
יחידה(yḥydh),unit
נמחקים(nmḥqym),deleted
לשונית(lšwnyt),tab
הפיצוץ(hpyṣwṣ),the explosion
וויקיפדיה(wwyqypdyh),wikipedia
הויקיפדיה(hwyqypdyh),wikipedia
לצרף(lṣrp),attach
הבוט(hvwṭ),the bot
הקטגוריות(hqṭgwrywt),the categories
וגדל(wgdl),and grew
שבא(švʾ),who came
להפעיל(lhpʿyl),activate
קיבוץ(qyvwṣ),kibbutz
המקומות(hmqwmwt),the places
לתאר(ltʾr),describe
מאיתנו(mʾytnw),from us
לרדת(lrdt),down
החברות(hḥvrwt),the companies
טלפון(ṭlpwn),phone
מסתבר(mstvr),probable
הבתים(hvtym),the houses
חשבו(ḥšvw),think
מוכרים(mwkrym),sellers
עקרונית(ʿqrwnyt),in principle
הרבנים(hrvnym),the rabbis
חרדי(ḥrdy),orthodox
גילו(gylw),age
מחיר(mḥyr),price
פנימה(pnymh),inside
בעונה(vʿwnh),in season
מורה(mwrh),teacher
צפוי(ṣpwy),expected
להימנע(lhymnʿ),to avoid
הבנייה(hvnyyh),construction
בירת(vyrt),capital
ממשל(mmšl),government
גמר(gmr),final
הגמר(hgmr),The finish
האישית(hʾyšyt),Personal
ניצב(nyṣv),Stands
לשבח(lšvḥ),praise
בגדר(vgdr),In the fence
ניתוח(nytwḥ),Analysis
שנערך(šnʿrk),Held
בימינו(vymynw),today
הינה(hynh),Is
משותפת(mšwtpt),Shared
בתחתית(vtḥtyt),At the bottom
ספור(spwr),story
ארוכים(ʾrwkym),Long
שהתשובה(šhtšwvh),That the answer
תומך(twmk),supporter
להילחם(lhylḥm),To fight
כוונה(kwwnh),Intention
מציין(mṣyyn),Indicates
בחצי(vḥṣy),In half
התפילה(htpylh),The prayer
פיקוח(pyqwḥ),Supervision
המודרנית(hmwdrnyt),Modern
יופי(ywpy),beauty
כלים(klym),Tools
המטוסים(hmṭwsym),The planes
מוצרי(mwṣry),Products
לחם(lḥm),bread
בעלה(vʿlh),Her husband
צריכות(ṣrykwt),Need
האב(hʾv),The father
בזמנו(vzmnw),At the time
דרישה(dryšh),demand
הכשרה(hkšrh),training
לסיום(lsywm),To finish
ף(p),Ie
מוסיפים(mwsypym),Add
בשדה(všdh),In the field
לשחרר(lšḥrr),release
ידועים(ydwʿym),Are known
בשקט(všqṭ),quietly
עוברת(ʿwvrt),Passing
לחיים(lḥyym),To life
חייל(ḥyyl),A soldier
הארי(hʾry),Harry
לאחור(lʾḥwr),behind
בחירה(vḥyrh),choice
תנאים(tnʾym),Conditions
באזורים(vʾzwrym),In areas
במצדה(vmṣdh),At Masada
באפריל(vʾpryl),In April
