hebrew,count,english_translation
בדיקת,44,Testing
טענה,44,claim
כתבה,44,story
שישה,44,Six
מר,44,Mr
השער,44,Gate
יוני,44,June
ערים,44,Cities
במאה,44,In a century
האמריקאים,44,Americans
הדמויות,44,The characters
לדחות,44,reject
מסע,44,journey
וזאת,44,And this
חזקה,44,holding
שלמים,44,Whole
הכבוד,44,The honor
נוסח,44,formula
מבחן,44,test
בזכויות,44,In rights
בזבוז,44,waste
זכאי,44,entitled to
הצבעות,44,The votes
חלוקה,44,division
בלאו,44,Blau
דרוש,44,required
לעלות,43,cost
סיפר,43,Told
אלוהים,43,God
ביטוח,43,Insurance
הכניסה,43,Entry
הפנייה,43,The referral
התחיל,43,Started
ובו,43,In which
הבן,43,The son
עלולה,43,May
הרכבת,43,The train
לימוד,43,Learning
הפתרון,43,The solution
נמשך,43,continued
הכול,43,Everything
למדינה,43,To the country
לחכות,43,wait
בנק,43,bank
השלישית,43,The third
האוכלוסייה,43,The population
שדות,43,Fields
משפטית,43,Legal
בטרם,43,before
תרופות,43,Drugs
העת,43,The time
קולנוע,43,cinema
שאף,43,Aspire
בעיתון,43,In the newspaper
העיקרי,43,The main
עזב,43,Left
הופיע,43,Appeared
בספרו,43,In his book
קלה,43,Light
בספרות,43,In literature
אתרים,43,Sites
עשו,43,Esau
עדין,43,gentle
המוות,43,Death
ביצוע,43,Performing
גרסאות,43,Versions
הכנסייה,43,Church
עובדת,43,Working
ביקום,43,In the universe
הנשק,43,The weapon
שאלת,43,The question
תעודת,43,A certificate
חטיבת,43,Brigade
מוזר,43,odd
לבזבז,43,waste
בפריז,43,In Paris
תיקנתי,43,I have fixed
שצריכים,43,Who need
בויקי,43,Boyki
מחקתי,43,I deleted
במסנג,43,Masang
שגיאה,43,error
לוודא,42,Make sure
ויכוח,42,Debate
שכזה,42,Such
ואכן,42,And indeed
למרכז,42,center
מאמץ,42,effort
ובכלל,42,And in general
סגנון,42,style
בתמונות,42,In pictures
מצוי,42,Found
משפטי,42,legal
למעט,42,excluding
ההורים,42,The parents
עלול,42,might
מציעים,42,Offer
בעייתי,42,Problematic
רשת,42,network
ליום,42,For the day
המדובר,42,This is
אירוע,42,An event
לקורא,42,To the reader
חיובית,42,Positive
קדימה,42,forward
תקף,42,valid
ובעיקר,42,And in particular
המשיכו,42,Continue
בהצבעה,42,In voting
המומחים,42,The experts
מערך,42,array
הוסיף,42,Added
בנייה,42,Construction
שלב,42,stage
חם,42,hot
ספרי,42,Books
בתוכנית,42,In a program
פנימי,42,internal
הג,42,The
מדריך,42,guide
השתתף,42,Participated in
פותחים,42,Open
אוסיף,42,I will add
להכנס,42,enter
להחליט,42,decide
מיותרת,42,Unnecessary
הודו,42,India
החשיבות,42,The importance
לשכתב,42,rewrite
לימודיו,42,His studies
שיעור,41,A lesson
עצוב,41,sad
שייך,41,Belongs to
נאמר,41,spoken
שרק,41,Only
ברמה,41,Level
ונראה,41,And see
המשפטי,41,The legal
איכות,41,quality
חרדים,41,Ultra -Orthodox
הזדמנות,41,opportunity
להראות,41,show
הורה,41,parent
הגבול,41,The border
צפון,41,north
מוסד,41,institution
סוגי,41,Types
המשמעות,41,The meaning
הסכמה,41,agreement
להפנות,41,refer
מרחב,41,space
באוגוסט,41,In August
הקודמת,41,Previous
במלחמה,41,In the war
הביא,41,Brought
בשר,41,meat
נפתח,41,Opens
עזה,41,Gaza
לימים,41,To later
אח,41,brother
החדר,41,the room
העלילה,41,the plot
השונות,41,the difference
לאו,41,no
להוכיח,41,prove
הר,41,mountain
המצאה,41,invention
הישיבה,41,the meeting
עמוס,41,loaded
האחריות,41,responsibility
סתירה,41,contradiction
ביאליק,41,bialik
מתנגד,41,opposed
זכר,41,male
רשום,41,registered
חיות,41,liveliness
פסקה,41,paragraph
הערים,41,the cities
אודה,41,ode
תוסיף,41,add
הסקריפט,41,the script
ציטוט,41,quote
ההערה,41,the note
ציר,41,axis
הלך,40,wayfarer
נעים,40,pleasant
הולכת,40,going
זוכרת,40,remember
וזהו,40,and that's it.
עין,40,eye
בניין,40,building
באו,40,they came
תקין,40,proper
מסוגל,40,able
ילדה,40,girl
השינויים,40,the changes
מבינה,40,understands
בשירות,40,in service
ישר,40,straight
חסרת,40,Lack
כביש,40,road
צדדים,40,Sides
הוקם,40,Established
באחד,40,In one
זוכה,40,winner
צעירים,40,Young
שנראה,40,Looked
ראשונה,40,First
העיקרית,40,The main
הכסף,40,The money
ובכן,40,Well
משבר,40,crisis
שיכול,40,That can
הפכו,40,Have become
דעתו,40,His mind
מעטים,40,few
הנדרשים,40,Required
החמישי,40,The fifth
הבאות,40,The following
שורות,40,Lines
יחיד,40,only
בטעות,40,mistakenly
כניסה,40,entry
להתקיים,40,Exist
אדומים,40,Red
מטרה,40,purpose
בודד,40,single
תוכלו,40,You can
מוצלח,40,successful
יושב,40,Sitting
מונח,40,term
פניה,40,Her face
עיניו,40,His eyes
האדום,40,The red
גאוגרפיה,40,geography
המקדש,40,The Temple
היסטורית,40,Historical
דיו,40,ink
האנושית,40,The human
העות,40,The Ottoman
בריטניה,40,UK
נוהג,40,practice
מטה,40,down
ברורים,40,Clear
אמו,40,emu
תגיד,40,Say
פרוייקט,40,Project
חושן,40,Hoshen
התבניות,40,The molds
לתבנית,40,To a pattern
טרול,40,Troll
גבר,39,man
הבניין,39,The building
שישי,39,Friday
סיכוי,39,A chance
מחלת,39,Illness
האזור,39,The area
לשבת,39,sit
לתקופה,39,For a period
רשמית,39,officially
יחסים,39,Relationships
ואחרים,39,And others
והאם,39,And whether
אוטומטית,39,Automatically
הצבת,39,Placing
אזהרה,39,warning
לוותר,39,Give up
הנאה,39,pleasure
ציבורית,39,Public
כללים,39,Rules
עבודת,39,Work
זר,39,foreign
הלאה,39,further
הרוב,39,The majority
הופיעו,39,Have appeared
דומים,39,Similar
ידועה,39,Known
חוזרים,39,Returning
לנשים,39,To women
לעזוב,39,leave
כוכב,39,star
השחקנים,39,The players
מנהיג,39,leader
אסף,39,Assaf
בערב,39,In the evening
כף,39,tablespoon
משך,39,duration
נדה,39,Nodded
מורכבת,39,Made up of
הצד,39,The side
משתנה,39,variable
צלב,39,cross
עליהן,39,On them
אחראי,39,responsible
כדורגל,39,football
ברשימה,39,In the list
חוקית,39,Illegal
פרקים,39,Episodes
לנסח,39,formulate
בקישורים,39,In the links
המלוכה,39,The royal
לעדכן,39,update
פנייה,38,turn
לדרך,38,On the way
נפש,38,soul
חומרים,38,Materials
לפרסם,38,publish
בענייני,38,In my case
בחיי,38,In my life
חייהם,38,Their lives
חשמל,38,electricity
פורנוגרפיה,38,pornography
פורום,38,forum
סנט,38,senate
לטיפול,38,For treatment
הדמות,38,The character
מזל,38,luck
המודעות,38,Awareness
המסחר,38,Trade
הקיים,38,Existing
המשחקים,38,The games
לזכור,38,remember
ראובן,38,Reuben
בגין,38,for
יסוד,38,fundamental
קטעים,38,Excerpts
לייצר,38,Produce
החליטה,38,Decided
גל,38,wave
במאי,38,May
עומדת,38,Stands
למלחמה,38,For war
שיטה,38,method
דובר,38,spokesman
דת,38,religion
שער,38,gate
לארצות,38,To the countries
תרומות,38,Donations
ניכר,38,Evident
ולמה,38,And why
רכש,38,procurement
הדו,38,The bilingual
מתאימה,38,Fits
פניו,38,His face
המקורית,38,The original
הצטרפו,38,Join
הראשונות,38,The first
ואחד,38,And one
הופכים,38,Become
עשרים,38,twenty
האוניברסיטה,38,University
פירוש,38,Interpretation
לחסום,38,block
נסה,38,Try
קראתי,38,I have read
ידו,38,His hand
העובדת,38,The employee
שטויות,38,nonsense
האנציקלופדיה,38,The Encyclopedia
למחיקה,38,To delete
מונחים,38,Terms
פליטים,38,Refugees
בתרגום,38,translation
חתימה,38,signature
בקיבוץ,38,In the kibbutz
הידעת,38,Did you know
שמת,38,Died
קופר,38,Cooper
אעשה,37,I will
בבוקר,37,In the morning
הכללי,37,The general
שנייה,37,A second
נו,37,Come on
ויפה,37,And beautiful
הקרובה,37,Upcoming
הציע,37,Suggested
קובע,37,Determines
שמא,37,perhaps
עלו,37,Rose
חמור,37,serious
ישיבת,37,A yeshiva
מגוון,37,diverse
יוכלו,37,Will be able to
שמי,37,Semitic
מכירים,37,Are familiar with
דמי,37,bloody
הערבית,37,Arabic
עשויה,37,Made of
נתון,37,given
הבינלאומי,37,International
החליטו,37,Have decided
הטובה,37,The good
לזכות,37,win
ב־,37,on-
נמצאו,37,Found
הפתיחה,37,The opening
הקטן,37,The little one
העובדות,37,The facts
התקבלה,37,Has been accepted
כלכלית,37,Economic economic
החשוב,37,The important
העלה,37,Up
האנרגיה,37,The energy
האמריקני,37,American
חוזה,37,contract
קצרים,37,Short
ההודעה,37,The message
הפוליטית,37,The political
בחוק,37,In the law
דניאל,37,Daniel
מרדכי,37,Mordechai
איראן,37,Iran
כולה,37,All
המדע,37,Science
ישן,37,old
היהדות,37,Judaism
נשלח,37,Sent
אג,37,Eg
מוזיקה,37,Music
שולחן,37,table
חיוביות,37,positivity
הסוף,37,The end
אירועי,37,Events
יצר,37,inclination
סן,37,San
קובץ,37,file
כלם,37,All
סקוטלנד,37,Scotland
הערה,37,remark
דיסק,37,disk
טענות,37,Claims
פונקציה,37,function
מהבית,36,From home
שמואל,36,Samuel
ביטחון,36,Confidence
להחזיק,36,hold
חיה,36,animal
עצמית,36,Self
יצאה,36,Came out
מפעל,36,factory
אנטי,36,anti
שהייתי,36,That I was
ירד,36,Got off
הדעת,36,Mind
העוסק,36,The dealer
שאינה,36,Not
אב,36,father
חידוש,36,Renewal
ריכוז,36,Concentration
שעדיין,36,Still
לברר,36,clarify
לאף,36,To the nose
הכותב,36,The writer
ואמר,36,And said
שערך,36,Who made
ענף,36,branch
קוריאה,36,Korea
מבני,36,structural
מיום,36,From the day
להלן,36,below
ציבור,36,Public
התוצאה,36,The result
תזונה,36,diet
להגדיר,36,define
מכונה,36,machine
האדמה,36,The earth
סעיף,36,section
האוצר,36,The Treasury
הכוכבים,36,The stars
בכנסת,36,In the Knesset
מועצת,36,A council
שיתוף,36,Sharing
בחירות,36,Elections
העברת,36,A transfer
הצוות,36,The team
לסדר,36,order
בחר,36,Choose
רוטשילד,36,Rothschild
חלב,36,milk
המוח,36,The mind
הקיץ,36,Summer
מבוסס,36,based
יצרו,36,Have created
התפתחות,36,development
מייקל,36,Michael
הבסיס,36,The base
התנאים,36,The conditions
רובם,36,Most of them
למספר,36,number
מבית,36,From home
המיתוס,36,The myth
מפורט,36,detailed
להגיב,36,respond
אפשרויות,36,Options
האומה,36,The nation
בעצמך,36,Yourself
הקדוש,36,Holy
כללית,36,General
פסק,36,A break
הידע,36,Knowledge
בוא,36,Come on
פעל,36,Acted
ורדן,36,Rose
אסיר,36,prisoner
צבאיים,36,Military
ואגב,36,And by the way
מדע,36,science
נימוק,36,A reasoning
עריכות,36,Edits
בלונדון,36,In London
הירח,36,The moon
הלכת,36,You went
היפנית,36,Japanese
ויקיפדית,36,Wikipedia
לתמונה,36,To a picture
בוויקי,36,In Wiki
העמוד,36,The page
פירוט,36,Detail
חסום,36,blocked
הידיעה,35,Knowing
מקומו,35,Its place
לנהל,35,manage
בעיניים,35,In the eyes
הנחה,35,discount
בתחילה,35,Initially
לשכנע,35,convince
שיחות,35,Calls
בתגובה,35,In response
השקט,35,The quiet
והנה,35,And here
החלטת,35,You have decided
מסויים,35,Some
הכלל,35,Rule
שרוב,35,Most
העיתון,35,The newspaper
הטלוויזיה,35,TV
לרשות,35,To the disposal
לדבריו,35,According to him
הצליחה,35,Succeeded
מבינים,35,Understand
לצפות,35,expect
הוביל,35,Led to
הקרובים,35,Nearby
בכפר,35,In the village
המועצה,35,Council
המעבר,35,The passage
להתעלם,35,ignore
ידעו,35,Have known
ואחרי,35,And after
שב,35,Returned
נדרש,35,Required
המקורות,35,The sources
שמן,35,oil
מצרים,35,Egypt
המקרה,35,The case
הקולנוע,35,Cinema
קשים,35,Hard
לשאת,35,bear
המחשבה,35,The thought
רצון,35,desire
מדעי,35,scientific
סיבות,35,Reasons
לשתי,35,To both
שלישי,35,third
המאבק,35,The fight
חלקיקים,35,Particles
קולות,35,Voices
פועלים,35,Workers
הרצוג,35,Herzog
הלוחמים,35,The fighters
המזון,35,The food
לבריאות,35,To the health
תיקון,35,Repair
זוגות,35,Pairs
שעדיף,35,That preferably
המרכזית,35,The central
בפרט,35,in particular
רגל,35,foot
אירלנד,35,Ireland
החוצה,35,out
אחדים,35,some
התרגום,35,the translation
בראשו,35,in his head
בצירוף,35,in conjunction
חשיבותו,35,its importance
נדחתה,35,rejected
שאנו,35,we
ממתי,35,since when
המין,35,the sex
מסכת,35,tractate
חוות,35,farm
שכחת,35,you forgot
פסח,35,passover
הכותרת,35,the title
השדה,35,the field
קנה,35,barrel
נכתבו,35,written
לונדון,35,london
נאלצתי,35,i had to
הפצצות,35,bombings
המורחב,35,the extended
הפארק,35,the park
ברוקס,35,brooks
זרים,35,strangers
במחוז,35,in the district
שניות,34,seconds
בוקר,34,morning
הסיבות,34,the reasons
עליי,34,about me
הפנימי,34,The inner
כחלק,34,As part of
ההוא,34,that
לכמה,34,To some
גרועה,34,Bad
רגילה,34,Normal
בנות,34,Girls
סמכות,34,authority
בנימין,34,Benjamin
לממשלה,34,To the government
היסוד,34,The foundation
נועד,34,Designed for
מיכל,34,Michal
וכדומה,34,And the like
אינטרנט,34,Internet
הדור,34,The generation
אחריות,34,responsibility
תופעה,34,phenomenon
כשהיא,34,When she
הספורט,34,Sports
נערך,34,Edited
חלקו,34,Part of it
הרקע,34,The background
הפעילות,34,The activity
התעשייה,34,The industry
תקדים,34,precedent
מלמד,34,Teaches
ענק,34,giant
לומדים,34,Learned
היותר,34,The most
יפו,34,Jaffa
עסקים,34,Business
השתמש,34,Use
נוכחות,34,presence
מחלה,34,disease
מסודר,34,arranged
בים,34,In the sea
בקיץ,34,In the summer
נרחבים,34,Widespread
שלטון,34,government
קיצוני,34,Extreme
רישום,34,Registration
זקוק,34,Need
השתנה,34,Changed
השורה,34,The line
ישראליים,34,Israeli
יעשה,34,Will
שיטות,34,Methods
הגרסה,34,The version
נראים,34,Look
לדוגמא,34,For example
המדבר,34,Desert
פותח,34,opener
באוקטובר,34,In October
גיוס,34,recruitment
צורות,34,Forms
העשרים,34,The twenties
ספריו,34,His books
היחס,34,Attitude
הבעיות,34,The problems
פרסומת,34,advertising
רעש,34,noise
מערב,34,West
פרופסור,34,professor
האמריקאית,34,American
השעה,34,The hour
חיבור,34,Connection
זכור,34,remembered
התוספת,34,The addition
ממשלה,34,government
חסרה,34,Missing
מינית,34,Sexual
המשתתפים,34,Participants
שוק,34,market
עשית,34,You did
הקו,34,The line
פילוסופיה,34,philosophy
מפעילים,34,Operations
בקול,34,Loudly
המערה,34,The cave
האחת,34,One
בקישור,34,In a link
בדוק,34,Check
אריאל,34,Ariel
חולק,34,Shares
תמצא,34,You will find
בוצעו,34,Have been carried out
מורחבים,34,Extended
זמני,34,temporary
מבחינתך,34,For you
שנמחקו,34,Deleted
אערוך,34,I will
תשובתי,34,My answer
אימייל,34,Email
רוזן,34,count
ולמלא,34,And fill
שנמצא,33,Found
הדעות,33,Opinions
הביאה,33,Brought
נעשו,33,Have been made
עיניים,33,Eyes
וכמובן,33,And of course
דלת,33,door
דיברתי,33,I spoke
העבר,33,The past
ועכשיו,33,And now
מכירה,33,sale
יוצאת,33,Exits
התגובה,33,The response
האישי,33,The personal
אתרי,33,ethereal
באותם,33,In the same
החדשים,33,The new ones
מאלה,33,From those
אסיה,33,Asia
משותף,33,shared
שפת,33,Lip
מעולה,33,excellent
מצוין,33,excellent
שהגיע,33,Who came
מתקיימת,33,Take place
לעצמו,33,himself
ראויה,33,Worthy
מדעית,33,Scientific
עצום,33,closed
בלשון,33,In the tongue
האקדמיה,33,Academy
ענה,33,Answered
הופעות,33,Appearances
הטובים,33,The good
לימודי,33,Studies
מוגדר,33,defined
בצורת,33,Drought
אישיות,33,personality
מוביל,33,leading
מקבלת,33,Gets accepted
בכלי,33,In the tool
האזרחים,33,Civilians
הליגה,33,The league
הצעות,33,Offers
שרד,33,office
אוסקר,33,Oscar
במערב,33,In the west
בחיל,33,In the Corps
גילה,33,Revealed
לנשיא,33,To the president
לבקר,33,visit
השבת,33,Restore
העפילה,33,An qualifying
מסך,33,screen
בצבע,33,In color
בוש,33,Bush
בוושינגטון,33,In Washington
הישן,33,Old
תרומה,33,contribution
ראתה,33,Saw
דומות,33,Similar
לוחמים,33,Fighters
לקנות,33,buy
הכללים,33,Rules
הרחוב,33,The street
דתית,33,Religious
משלו,33,His own
ההר,33,Mountain
יובל,33,jubilee
פריז,33,Paris
חמורה,33,Severe
רשיון,33,license
נוצרים,33,Christians
לנסוע,33,travel
בצבא,33,In the army
האוכלוסין,33,The population
יבוא,33,import
מומלצים,33,Recommended
הפורטל,33,The portal
בבא,33,Baba
פסקאות,33,Paragraphs
בהתנדבות,33,Voluntarily
בלוח,33,In the board
הפניות,33,Referrals
ארלס,33,Erals
העובד,33,The employee
מספקים,33,Provide
גלובוס,33,globe
הגרסאות,33,The versions
וחבל,33,And a pity
מהותי,33,essential
הראש,32,The head
שקרה,32,That happened
סניף,32,branch
מדברת,32,speaking
ואחר,32,and another
הבוקר,32,this morning
לחדר,32,to the room
בכדי,32,in order to
אפשרית,32,possible
קשורים,32,related
מתחילה,32,beginning
נותנים,32,give
בקושי,32,barely
הצעתי,32,i proposed
קיבלה,32,received
חובת,32,duty
הודיע,32,announced
החלטות,32,decisions
מגיעה,32,coming
מסביר,32,explains
המערכה,32,the campaign
הורים,32,parents
סביבה,32,environment
ברמת,32,In the level
בסיום,32,At the end of
תעשה,32,Do
האירועים,32,Events
נמוכה,32,Low
בפעילות,32,In an activity
תום,32,innocence
שיא,32,record
מוות,32,Death
כתבי,32,Writings
עוסקים,32,Are engaged
היד,32,Hand
לדברי,32,According to
מסביב,32,around
לעתיד,32,For the future
השאלות,32,The questions
קיבלו,32,Were received
מטר,32,meter
באליפות,32,In the championship
הקריירה,32,The career
התפקיד,32,The job
שיחק,32,Played
בחייו,32,In his life
התהליך,32,The process
כספי,32,financial
להגנת,32,In defense
עיקר,32,The main thing
נערכו,32,Have been held
המשימה,32,The task
בשבת,32,On Saturday
במרחק,32,In a distance
עדויות,32,Evidence
הידוע,32,The well -known
בלב,32,In the heart
שמע,32,audio
שפות,32,Languages
משל,32,parable
שיותר,32,That more
השטח,32,The area
שזהו,32,That is
בולט,32,prominent
פתוחה,32,Open
קרבות,32,Battles
מלכתחילה,32,from the start
הדגל,32,The flag
מגלה,32,Reveals
שואל,32,Asking
לדברים,32,To things
מבוססת,32,Based
שרוצה,32,Who wants
בשאלה,32,In the question
האופן,32,The way
ביקשתי,32,I have asked for
תחנת,32,A station
העיניים,32,The eyes
ההגדרה,32,The setting
פרה,32,cow
מילא,32,Has filled
מנחם,32,Comforted
כיבוש,32,Occupation
שרידי,32,Remains
חלה,32,Applaud
האקלים,32,The climate
תלמיד,32,student
מיוחדים,32,Special
המזרח,32,Eastern
הערבים,32,The Arabs
ערן,32,Eran
מחק,32,eraser
בכתיבת,32,In writing
חש,32,Feel
אחידות,32,uniformity
שיקול,32,A consideration
למשפחת,32,To a family
תקן,32,standard
מטרת,32,The purpose
ממילא,32,in any case
להצטרף,32,join
מוצג,32,Shown
נפוצה,32,Common
הצורה,32,Shape
האופוזיציה,32,The opposition
למיטב,32,To the best of
הנוסחה,32,The formula
אזרחות,32,citizenship
אטום,32,opaque
שלפני,31,Before
עוברים,31,Embryos
להפריד,31,separate
מועד,31,Date
מתקשה,31,Hardens
למות,31,die
הטלפון,31,The phone
הסתם,31,Just
יומיים,31,Two days
ביקש,31,Asked for
קשרים,31,Ties
זמנית,31,temporarily
הנושאים,31,The topics
אהיה,31,I'll be
הציבורית,31,The public
היועץ,31,The consultant
ארוכות,31,Long
בתנאי,31,Provided
שאמר,31,Who said
הגישה,31,Access
במשחקי,31,In the games
בבני,31,In my sons
להסתיר,31,hide
מכבי,31,Maccabi
כיף,31,fun
בפברואר,31,In February
תוקף,31,validity
בריא,31,healthy
האל,31,God
שנכתב,31,Written
בינינו,31,Between us
שבהן,31,Where
ניצח,31,Won
שלילי,31,negative
הרווח,31,The profit
בפרויקט,31,In the project
וחלק,31,And some
בודדים,31,Lonely
המועדון,31,The club
פול,31,pool
פתוחים,31,Open
הקהל,31,Audience
בכוח,31,By force
סוחר,31,merchant
מרד,31,revolt
כוכבא,31,Kochba
מחכה,31,Wait
מכון,31,institute
בגן,31,In the garden
ייעוץ,31,Advice
איטליה,31,Italy
יוצאים,31,Come out
לוחם,31,fighter
הקרקע,31,The ground
בשיתוף,31,In conjunction
להתגורר,31,reside
ריק,31,empty
במהרה,31,soon
לתפוס,31,catch
סדרות,31,Series
הנקודה,31,The point
נרחבת,31,Widespread
אפס,31,zero
מקצועיים,31,Professional
הבדואים,31,Bedouin
פרץ,31,breach
במילה,31,In the word
המנדט,31,Mandate
בסמוך,31,near
צחוק,31,laughter
זיהוי,31,Identification
לצבא,31,To the army
חברתית,31,Social
מקיף,31,comprehensive
ברשימת,31,On the list
ברזיל,31,Brazil
במובן,31,In the sense
אזרחי,31,civil
שואלים,31,Ask
נולדה,31,Born
תחרות,31,competition
ראשו,31,His head
ההוצאה,31,The expense
הראשית,31,The main one
מסלול,31,orbit
למשפט,31,For trial
עליכם,31,On you
גמל,31,camel
להירשם,31,To sign up
סבירה,31,Reasonable
מחיקת,31,Erasing
לקטגוריה,31,To the category
למרחב,31,To space
בשפות,31,In the languages
בדרגת,31,at the level of
פרטית,31,private
אינסולין,31,insulin
יעלי,31,yaeli
יחידה,31,unit
נמחקים,31,deleted
לשונית,31,tab
הפיצוץ,31,the explosion
וויקיפדיה,31,wikipedia
הויקיפדיה,31,wikipedia
לצרף,31,attach
הבוט,31,the bot
הקטגוריות,31,the categories
וגדל,31,and grew
שבא,30,who came
להפעיל,30,activate
קיבוץ,30,kibbutz
המקומות,30,the places
לתאר,30,describe
מאיתנו,30,from us
לרדת,30,down
החברות,30,the companies
טלפון,30,phone
מסתבר,30,probable
הבתים,30,the houses
חשבו,30,think
מוכרים,30,sellers
עקרונית,30,in principle
הרבנים,30,the rabbis
חרדי,30,orthodox
גילו,30,age
מחיר,30,price
פנימה,30,inside
בעונה,30,in season
מורה,30,teacher
צפוי,30,expected
להימנע,30,to avoid
הבנייה,30,construction
בירת,30,capital
ממשל,30,government
גמר,30,final
הגמר,30,The finish
האישית,30,Personal
ניצב,30,Stands
לשבח,30,praise
בגדר,30,In the fence
ניתוח,30,Analysis
שנערך,30,Held
בימינו,30,today
הינה,30,Is
משותפת,30,Shared
בתחתית,30,At the bottom
ספור,30,story
ארוכים,30,Long
שהתשובה,30,That the answer
תומך,30,supporter
להילחם,30,To fight
כוונה,30,Intention
מציין,30,Indicates
בחצי,30,In half
התפילה,30,The prayer
פיקוח,30,Supervision
המודרנית,30,Modern
יופי,30,beauty
כלים,30,Tools
המטוסים,30,The planes
מוצרי,30,Products
לחם,30,bread
בעלה,30,Her husband
צריכות,30,Need
האב,30,The father
בזמנו,30,At the time
דרישה,30,demand
הכשרה,30,training
לסיום,30,To finish
ף,30,Ie
מוסיפים,30,Add
בשדה,30,In the field
לשחרר,30,release
ידועים,30,Are known
בשקט,30,quietly
עוברת,30,Passing
לחיים,30,To life
חייל,30,A soldier
הארי,30,Harry
לאחור,30,behind
בחירה,30,choice
תנאים,30,Conditions
באזורים,30,In areas
במצדה,30,At Masada
באפריל,30,In April
להמציא,30,invent
המשפטים,30,The sentences
הארוך,30,Long
פולחן,30,cult
מאנית,30,Manic
הנכונה,30,Correct
מלחמות,30,Wars
בדצמבר,30,In December
נפצעו,30,Were injured
התחבורה,30,The transport
אפלו,30,Darkened
בפיירפוקס,30,In Firefox
חיפשתי,30,I was looking for
גרעיני,30,nuclear
המיזם,30,The venture
חינוכי,30,Educational
להעתיק,30,copy
גוש,30,bloc
מדף,30,shelf
כנ,30,As
אדוארד,30,Edward
שציינת,30,Indicated
צדדי,30,side
עקרוני,30,fundamental
קרוי,30,named
למדתי,29,I learned
ואנחנו,29,And we
מוכנה,29,Ready
לישון,29,sleep
יישאר,29,Will remain
להשפיע,29,influence
מצליחה,29,Successful
מטבע,29,currency
מכשיר,29,instrument
לעצמה,29,For herself
מטרים,29,Meters
מכתב,29,letter
שניה,29,second
בד,29,fabric
מבטיח,29,promising
לחברה,29,To the company
בחשבון,29,In an account
להרגיש,29,feel
להטיל,29,throw
מפגש,29,meeting
הפרדה,29,separation
לפרסום,29,For advertising
תכנים,29,Content
במאמר,29,In the article
מהסוג,29,The kind of
מהבחינה,29,From the point of view
משפחתי,29,family
נהדר,29,magnificent
מכם,29,radar
העולמי,29,The world
בחודשים,29,In the months
ממשיכים,29,Continue
קצב,29,rate
החדשות,29,The news
המערבי,29,Western
לפעילות,29,To an activity
תוכניות,29,Plans
כמוך,29,Like you
במפורש,29,explicitly
מועמד,29,candidate
תופעות,29,Phenomena
ההיסטורי,29,Historical
מתקופת,29,From a period
נכתבה,29,Write
שולח,29,sender
לרוץ,29,run
פשוטים,29,Simple
ניהול,29,Management
שיצא,29,Leaving
צפויים,29,Are expected
בתנאים,29,Under conditions
פגם,29,defect
שיפור,29,Improvement
לטווח,29,In the range
המשרד,29,Office
העלאת,29,Raising
בקבוצה,29,In the group
הכנסה,29,income
הגדולות,29,The biggest
כשאתה,29,When you are
בעידן,29,In an era
הישג,29,Achievement
חוף,29,beach
הנבחרים,29,The selected
רשאי,29,entitled
שהדבר,29,Which is
בנושאי,29,On topics
מפעילי,29,An operator
פורים,29,Purim
קורונה,29,Corona
להבהיר,29,clarify
בעיניי,29,To me
חיילי,29,Soldiers
עצמאית,29,Independent
חופשיים,29,Are free
לשתות,29,drink
הצרפתי,29,Frenchman
הקטנה,29,The little one
רבנים,29,Rabbis
מפלגה,29,party
כולן,29,All of them
שירותי,29,Services
ליצירת,29,To create
טבע,29,nature
להכין,29,prepare
נבנה,29,Was built
שמעו,29,Have heard
מסיבה,29,For a party
ן,29,Pillow
שרוצים,29,Who want
לשון,29,language
הדיונים,29,The discussions
לומד,29,Learns
תיאטרון,29,Theater
העיקר,29,The main thing
שעון,29,clock
בידו,29,In his hand
לירושלים,29,To Jerusalem
לשפוך,29,shed
תועלת,29,benefit
האנושי,29,The human
להמשך,29,continue
גורן,29,Goren
באף,29,In the nose
המינים,29,The species
ביהדות,29,In Judaism
הרצל,29,Herzl
ציוני,29,Zionist
ממס,29,solvent
מסחר,29,trade
בואי,29,Come on
התעופה,29,Airport
המשנה,29,The sub -sub -
השכונה,29,The neighborhood
בהודו,29,In India
למדה,29,Learned
הקיסר,29,The emperor
מוזיאון,29,museum
שהעלית,29,That raised
בהוצאת,29,בהוצאת
והערך,29,And the value
לעריכה,29,To edit
אינספור,29,Countless
פולין,29,Poland
סקרלט,29,Scarlett
נקבר,29,Is buried
המתאים,29,Appropriate
שערכת,29,To
אמרת,29,You said
מיזמי,29,A venture
נוי,29,decoration
נהרג,29,Killed
להזיז,29,move
סימפסון,29,Simpson
הפיסקה,29,The paragraph
החסימה,29,The blockage
טעויות,29,Mistakes
האחראי,29,In charge
קרדיט,29,Credit
טרומן,29,Truman
נהרה,29,A river
שבעה,28,seven
פונה,28,פונה
זבל,28,manure
השמות,28,The names
מוצרים,28,Products
לחתום,28,sign
חמישי,28,fifth
מתנגדים,28,Opposing
לאנשי,28,To the people
הולנד,28,Netherlands
באיטליה,28,In Italy
תא,28,cell
יתרה,28,balance
יעיל,28,effective
ציין,28,Indicate
הוקמה,28,Established
שושלת,28,dynasty
התושבים,28,Residents
היכולת,28,The ability
ברזל,28,iron
היקף,28,Scope
הקשה,28,tapping
פברואר,28,February
